time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2007-06-28T12:57:47.400Z,42.096,23.296,0,3.3,ml,6,251.2,,,us,usp000ff1a,2014-11-07T01:32:46.735Z,Bulgaria,earthquake,,,,,reviewed,the,the
2007-06-03T23:17:39.900Z,41.87,24.79,25,3.3,md,4,268.4,,,us,usp000fdaj,2014-11-07T01:32:38.703Z,Bulgaria,earthquake,,,,,reviewed,ath,ath
2007-05-12T13:45:47.180Z,42.223,27.142,15,3.8,ml,10,256.4,,,us,usp000fbuk,2014-11-07T01:32:27.576Z,Bulgaria,earthquake,,,,,reviewed,buc,buc
2007-05-05T23:04:10.000Z,41.29,24.03,30,3,md,4,161.3,,,us,usp000fbb8,2014-11-07T01:32:24.750Z,Greece-Bulgaria border region,earthquake,,,,,reviewed,ath,ath
2007-05-05T21:36:12.210Z,42.004,23.469,10,3.6,md,9,138,,1.16,us,usp000fbb3,2014-11-07T01:32:24.744Z,Bulgaria,earthquake,,,,,reviewed,us,ath
2007-05-05T21:27:42.700Z,41.81,22.92,13,3.2,md,4,303.4,,,us,usp000fbb2,2014-11-07T01:32:24.742Z,Macedonia,earthquake,,,,,reviewed,ath,ath
2007-04-28T00:01:41.300Z,41.62,24.29,3,3.2,md,4,242.1,,,us,usp000farj,2014-11-07T01:32:17.820Z,Bulgaria,earthquake,,,,,reviewed,ath,ath
2007-04-15T15:37:46.260Z,42.054,25.049,7,2.8,ml,5,214.6,,,us,usp000f9t8,2014-11-07T01:32:12.419Z,Bulgaria,earthquake,,,,,reviewed,the,the
2007-03-29T00:56:59.690Z,41.922,23.124,5.2,2.5,ml,7,150.5,,,us,usp000f7rc,2014-11-07T01:31:57.408Z,Bulgaria,earthquake,,,,,reviewed,the,the
2007-03-27T16:01:23.440Z,41.467,23.211,1.9,2.8,ml,12,106.5,,,us,usp000f7n3,2014-11-07T01:31:56.926Z,Bulgaria,earthquake,,,,,reviewed,the,the
2007-02-19T01:26:13.410Z,41.787,22.685,1.7,2.9,ml,16,191.1,,,us,usp000f54g,2014-11-07T01:31:39.707Z,Macedonia,earthquake,,,,,reviewed,the,the
2007-01-31T08:00:29.600Z,41.935,23.822,0.1,3,ml,16,100,,,us,usp000f40h,2014-11-07T01:31:29.461Z,Bulgaria,earthquake,,,,,reviewed,the,the
2007-01-26T06:08:36.590Z,41.929,23.1,5.1,2.9,ml,10,153.5,,,us,usp000f3ms,2014-11-07T01:31:27.550Z,Bulgaria,earthquake,,,,,reviewed,the,the
2007-01-23T07:32:50.120Z,41.683,22.912,5.7,2.5,ml,16,158,,,us,usp000f3cw,2014-11-07T01:31:26.673Z,Macedonia,earthquake,,,,,reviewed,the,the
2006-12-28T20:54:17.800Z,41.46,25.39,4,3.1,md,10,97.3,,,us,usp000f179,2014-11-07T01:31:12.867Z,Bulgaria,earthquake,,,,,reviewed,ath,ath
2006-12-21T17:03:54.390Z,42.613,23.483,30,2.7,ml,10,229.4,,,us,usp000f0qn,2014-11-07T01:31:10.409Z,Bulgaria,earthquake,,,,,reviewed,buc,buc
2006-12-12T19:35:15.300Z,41.82,25.16,14,2.9,md,9,117.1,,,us,usp000f03b,2014-11-07T01:31:07.831Z,Bulgaria,earthquake,,,,,reviewed,sof,sof
2006-11-22T18:43:24.600Z,41.79,22.37,8,3.7,md,24,132.7,,,us,usp000eyk1,2014-11-07T01:30:55.856Z,Macedonia,earthquake,,,,,reviewed,sof,ath
2006-11-20T01:02:26.040Z,41.817,22.69,0.4,3.7,ml,46,27.4,,,us,usp000eyaj,2014-11-07T01:30:54.444Z,Macedonia,earthquake,,,,,reviewed,the,the
2006-11-09T07:09:44.850Z,41.937,23.09,11.2,3.8,ml,4,155.1,,,us,usp000ewz3,2014-11-07T01:30:47.103Z,Bulgaria,earthquake,,,,,reviewed,the,the
2006-11-02T18:47:16.700Z,41.792,22.863,1.8,2.5,ml,6,172.5,,,us,usp000ewgb,2014-11-07T01:30:44.134Z,Macedonia,earthquake,,,,,reviewed,the,the
2006-09-26T12:03:38.650Z,41.544,23.919,6.5,3.2,md,18,58.2,,,us,usp000etv2,2014-11-07T01:30:16.911Z,Bulgaria,earthquake,,,,,reviewed,the,ath
2006-09-14T09:05:06.700Z,41.93,23.38,10,2.6,md,8,111.7,,,us,usp000et2s,2014-11-07T01:30:13.396Z,Bulgaria,earthquake,,,,,reviewed,sof,sof
2006-09-05T12:13:38.310Z,42.618,24.143,0,2.9,ml,8,232.7,,,us,usp000esgy,2014-11-07T01:30:09.927Z,Bulgaria,earthquake,,,,,reviewed,the,the
2006-09-03T21:54:32.600Z,41.875,23.199,1.5,3,md,13,139.9,,,us,usp000ese2,2014-11-07T01:30:09.425Z,Bulgaria,earthquake,,,,,reviewed,the,ath
2006-08-26T19:46:08.800Z,41.74,23.52,18,3.5,md,10,109,,,us,usp000ertt,2014-11-07T01:30:01.954Z,Bulgaria,earthquake,,,,,reviewed,ath,ath
2006-08-24T21:00:07.000Z,43.391,28.769,32.7,3.8,md,8,249.5,,,us,usp000erp2,2014-11-07T01:30:01.314Z,Black Sea,earthquake,,,,,reviewed,isk,isk
2006-08-13T02:09:57.200Z,41.66,23.78,18,3.3,md,18,81.8,,,us,usp000equf,2014-11-07T01:29:57.446Z,Bulgaria,earthquake,,,,,reviewed,ath,ath
2006-08-11T22:57:36.600Z,41.54,23.66,27,3.4,md,9,87,,,us,usp000eqrh,2014-11-07T01:29:57.057Z,Bulgaria,earthquake,,,,,reviewed,ath,ath
2006-08-07T02:44:35.340Z,41.925,23.016,10,3.4,md,17,157.1,,1.13,us,usp000eqdc,2014-11-07T01:29:55.142Z,Bulgaria,earthquake,,,,,reviewed,us,ath
2006-08-05T05:38:13.200Z,41.96,23.2,14,3.5,md,13,137.5,,,us,usp000eq9a,2014-11-07T01:29:54.471Z,Bulgaria,earthquake,,,,,reviewed,sof,ath
2006-08-01T13:15:28.400Z,41.7,25.44,9,3.5,md,17,102.5,,,us,usp000eq0y,2014-11-07T01:29:52.024Z,Bulgaria,earthquake,,,,,reviewed,sof,ath
2006-07-31T01:30:34.600Z,41.95,23.05,19,2.8,md,14,160.4,,,us,usp000epxw,2014-11-07T01:29:49.090Z,Bulgaria,earthquake,,,,,reviewed,sof,sof
2006-07-22T20:02:11.770Z,42.275,24.144,1.5,3.2,ml,26,51.8,,,us,usp000epbk,2014-11-07T01:29:44.195Z,Bulgaria,earthquake,,,,,reviewed,the,the
2006-07-19T23:58:42.500Z,41.69,23.81,4,3.1,md,14,85,,,us,usp000ep4z,2014-11-07T01:29:43.506Z,Bulgaria,earthquake,,,,,reviewed,ath,ath
2006-07-18T14:55:35.000Z,41.92,23.39,10,2.6,md,6,114.5,,,us,usp000ep05,2014-11-07T01:29:42.733Z,Bulgaria,earthquake,,,,,reviewed,sof,sof
2006-07-17T16:51:47.100Z,42.15,25.13,16,3.7,md,12,83.6,,,us,usp000envf,2014-11-07T01:29:42.107Z,Bulgaria,earthquake,,,,,reviewed,sof,ath
